"Timestamp","Total score","What grade are you in?","What grade are you in? [Score]","What grade are you in? [Feedback]","Did you ever get hacked?","Did you ever get hacked? [Score]","Did you ever get hacked? [Feedback]","Has your password ever gotten leaked in a data leak? Example below.
","Has your password ever gotten leaked in a data leak? Example below.
 [Score]","Has your password ever gotten leaked in a data leak? Example below.
 [Feedback]","What makes you feel a password is “secure enough”? ","What makes you feel a password is “secure enough”?  [Score]","What makes you feel a password is “secure enough”?  [Feedback]","Do you reuse passwords for multiple accounts? ","Do you reuse passwords for multiple accounts?  [Score]","Do you reuse passwords for multiple accounts?  [Feedback]","If you reuse the same password, Is your password short/easy or long/complex?","If you reuse the same password, Is your password short/easy or long/complex? [Score]","If you reuse the same password, Is your password short/easy or long/complex? [Feedback]","If you answered the previous question, please explain why (optional!)","If you answered the previous question, please explain why (optional!) [Score]","If you answered the previous question, please explain why (optional!) [Feedback]","Have you ever used an automatically generated/recommended password?","Have you ever used an automatically generated/recommended password? [Score]","Have you ever used an automatically generated/recommended password? [Feedback]","Did you enjoy this questionnaire","Did you enjoy this questionnaire [Score]","Did you enjoy this questionnaire [Feedback]"
"2026/02/03 2:49:29 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","symbols","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 2:55:50 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","It has number and letters ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 3:06:45 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If it has a mix of letters, numbers, and special letters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 3:08:23 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","it has more than 3 characters","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 3:11:18 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Yes","-- / 0","","Put a random combo nb kno","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Takes less time to enter ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 3:28:05 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","If it's unrelated to my username","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","If it's more complex -> harder to guess","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 4:18:55 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","At LEAST 10 characters including letters, capitalization, numbers, and symbols. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I make my password pretty long, because I worry that I could get hacked and my password isn’t secure enough. I always memorize them and use the same passwords for most of my accounts, or similar with some character changes. I want it to be long so people, specifically hackers aren’t able to guess my passwords easily.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 4:34:07 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","if there are other ways to access the account ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","it’s easier for me to remember then having different passwords for all my accounts ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 4:59:11 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","If it’s unpredictable ","-- / 0","","No","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 5:09:33 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","Uh my mind","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/03 5:17:40 PM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","When it’s long with a lot of numbers ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","So it’s easy to remember ","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 10:34:11 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","500+ bits of entropy randomly generated (less in some cases)","-- / 0","","No","-- / 0","","Both on different websites","-- / 0","","I don't reuse passwords, but the question was marked mandatory","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 10:46:43 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","No","-- / 0","","Whenever personal/unlikey content is used.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","n/a","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 11:08:27 AM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If the password is something only I would know ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 11:16:42 AM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Random signs instead of letters.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It’s easier to remember ","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 12:23:50 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","lower and uppercase letters, and a few numbers","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It's because I'm very forgetful, so it's easier for me to use the same password instead of trying to remember multiple.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 2:03:54 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","Symbols, case difference, and enough length.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Just because I've used them for a while/assigned the password.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 2:06:47 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If it is unique and has number and symbols.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 2:13:46 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","Yes","-- / 0","","When it’s personal enough that no one will know the answer","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:06:47 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","I never feel password is secure","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:09:11 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","No","-- / 0","","It's random while also being something I can remember","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:28:23 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","Nothing","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Easy to remember ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:34:02 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","unpredictable ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","it’s for me to remember and i know no one will ever guess it","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:38:51 PM EST","0.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","Memory","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","Knowledge ","-- / 0","","No","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/04 3:46:02 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","Something no one would expect. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","It’s a medium length with out of order numbers","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:47:58 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Personalized password ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:51:03 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","No","-- / 0","","No","-- / 0","","Is not","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 3:51:35 PM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","It really isn’t. ","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","I guess it depends on site and the usage of it.","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 4:43:57 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","When I feel it would be hard for people to guess it ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","I feel having a password that is somewhat difficult it makes it easier for me to understand and harder for people to guess. ","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:05:55 PM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","no one can guess it","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/04 5:06:54 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","If it comes with multifactor authentication, is practically not guessable, etc.","-- / 0","","No","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:15:01 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, but I got the account back","-- / 0","","No","-- / 0","","Its unique","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","Its not too complicated
","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:18:09 PM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","If it has special characters.","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:19:14 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If it’s something you know that nobody else knows","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:35:21 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","I don’t know","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:36:22 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","If it is longer and unique.","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 5:50:11 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, I lost the account","-- / 0","","No","-- / 0","","a relatively long password that only that person would understand","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 7:45:37 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","It’s oddly specific and has a variety of letters, numbers etc. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","My memory is bad so having the same password makes logging into things simpler","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 8:07:04 PM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, I lost the account","-- / 0","","Not Sure","-- / 0","","Like the ones they auto genrate for u like when theh have Aa123$&& etc etc","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 9:43:22 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","When I have different symbols on my password","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/04 10:00:57 PM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it’s long and it’s something I like that nobody else knows.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 8:24:11 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","I think it's secure when the password is long and not easy to guess.","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 9:06:40 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","if its not my birthday or anything with my name in it. As long as there isnt information online that could help someone guess my password.","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 9:24:07 AM EST","0.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","if its long and random","-- / 0","","No","-- / 0","","Both on different websites","-- / 0","","","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 10:46:23 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","Yes, but I got the account back","-- / 0","","Not Sure","-- / 0","","if it has random letters, numbers, symbols, underscores / dashes, etc","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 10:49:36 AM EST","999999.00 / 999999","Freshman(9th)","-- / 0","","No","-- / 0","","No","-- / 0","","If its long","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 10:49:37 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","Yes","-- / 0","","When it is at least 8 characters, recognizable as a word, memorable / easy to recall to you, and hard for an outsider to guess","-- / 0","","No","-- / 0","","I don't reuse the same password","-- / 0","","","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 10:50:14 AM EST","0.00 / 999999","Sophomore(10th)","-- / 0","","No","-- / 0","","No","-- / 0","","When it sounds so stupid that only I would know","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","bc eithan keeps on LOCKING MY DAMN SCREEN IN DRIVERS ED","-- / 0","","Yes","-- / 0","","No","0.00 / 999999","you're wrong 🤓👆, of course you did, stop lying, either you like it or you didn't take it"
"2026/02/05 10:50:27 AM EST","999999.00 / 999999","Adult (graduated)","-- / 0","","Yes, but I got the account back","-- / 0","","Yes","-- / 0","","Using special characters, ensuring my  other passwords are not the same or using an internet browser to automatically generate secure passwords","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 10:56:08 AM EST","999999.00 / 999999","Junior(11th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","complicated password","-- / 0","","Yes","-- / 0","","Both on different websites","-- / 0","","They tell me its ""safe"" anyway so its whatever","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 10:56:24 AM EST","999999.00 / 999999","Senior (12th)","-- / 0","","No","-- / 0","","Not Sure","-- / 0","","Using a password that uses the combination of Uppercase and Lowercase Letters, Numbers, Symbols, and using them to make a password so random and scattered all of the place. ","-- / 0","","Yes","-- / 0","","Long and Difficult (Medium length counts here too)","-- / 0","","Sometimes I create accounts and to create an account as soon as possible, I use the same password. I mean to change it later but then I forget to and it just stays. I would say it's medium left and it does contain uppercase and lowercase letters, numbers, and symbols. ","-- / 0","","No","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
"2026/02/05 11:00:56 AM EST","999999.00 / 999999","Sophomore(10th)","-- / 0","","Yes, I lost the account","-- / 0","","Yes","-- / 0","","Multiple symbols ","-- / 0","","Yes","-- / 0","","Short and Easy","-- / 0","","i cant remember anything else","-- / 0","","Yes","-- / 0","","Yes","999999.00 / 999999","Thank you for being honest!"
